País,ISO,Región,Entrada_2000,Salida_2000,Entrada_2001,Salida_2001,Entrada_2002,Salida_2002,Entrada_2003,Salida_2003,Entrada_2004,Salida_2004,Entrada_2005,Salida_2005,Entrada_2006,Salida_2006,Entrada_2007,Salida_2007,Entrada_2008,Salida_2008,Entrada_2009,Salida_2009,Entrada_2010,Salida_2010,Entrada_2011,Salida_2011,Entrada_2012,Salida_2012,Entrada_2013,Salida_2013,Entrada_2014,Salida_2014,Entrada_2015,Salida_2015,Entrada_2016,Salida_2016,Entrada_2017,Salida_2017,Entrada_2018,Salida_2018,Entrada_2019,Salida_2019,Entrada_2020,Salida_2020,Entrada_2021,Salida_2021,Entrada_2022,Salida_2022,Prom_Entrada_2000_2022,Prom_Salida_2000_2022,Clasificación
Albania,ALB,Europa Occidental,143.0,,207.3,,135.0,,178.04,,341.29,13.6,262.48,4.06,325.14,10.5,652.28,4.91,1247.18,365.94,1345.42,394.65,1089.9,46.39,1048.71,202.09,917.99,83.18,1254.15,28.45,1149.93,75.65,989.58,79.31,1044.39,7.04,1022.76,-106.18,1204.38,-4.51,1201.02,39.98,1069.74,50.1,1218.59,49.94,1441.38,191.51,847.38,80.87,Importador neto
Algeria,DZA,Medio Oriente/Norte África,280.1,13.7,1113.11,9.3,1064.96,98.57,637.85,28.32,884.75,245.45,1156.0,55.0,1841.0,79.0,1686.74,146.99,2638.61,317.85,2746.93,214.42,2300.37,219.23,2571.24,533.92,1500.4,-41.44,1691.89,-271.75,1502.21,-18.57,-537.79,101.12,1638.26,46.54,1230.24,-8.57,1466.12,846.21,1381.2,31.15,1143.92,14.61,869.19,-50.56,241.8,84.59,1349.96,117.18,Importador neto
Argentina,ARG,América del Sur,10418.31,901.03,2166.14,160.88,2148.91,-627.14,1652.01,773.78,4124.71,675.99,5265.25,1311.06,5537.35,2438.72,6473.16,1504.23,9725.55,1390.93,4017.16,711.55,11332.72,964.76,10839.93,1488.0,15323.93,1054.85,9821.66,889.97,5065.34,1920.54,11758.99,875.23,3260.16,1786.53,11516.86,1155.63,11716.77,1725.98,6649.19,1522.73,4884.13,1177.18,6658.05,1543.86,15206.09,2089.84,7633.15,1192.88,Importador neto
Armenia,ARM,Este Europa/Asia Central,104.19,,69.87,,110.73,0.0,122.85,0.61,247.14,-0.12,292.07,5.39,466.53,22.63,667.67,8.89,943.73,30.51,760.04,52.24,529.32,27.46,653.22,219.08,496.64,23.43,346.09,30.26,406.58,28.8,184.13,28.75,333.82,70.52,252.75,29.06,266.86,7.01,100.29,-133.0,58.58,-27.28,366.42,24.59,975.66,49.74,380.66,23.74,Importador neto
Austria,AUT,Europa Occidental,8501.01,5509.49,5689.43,3021.9,138.35,5780.43,6195.02,6859.78,3183.65,8029.9,81096.09,81289.43,10500.46,16087.85,68865.79,79039.91,6301.14,27903.02,14300.06,15558.17,-22007.33,-14327.62,22983.94,38145.28,5218.62,18444.3,-1290.98,11031.0,1708.43,-875.37,-6847.37,-675.73,-28502.57,-27725.54,14031.98,8012.17,-27839.21,-27564.07,-12636.36,-8291.47,-12003.8,2114.33,18998.11,29090.36,14301.5,14413.87,7429.82,12646.58,Exportador neto
Azerbaijan,AZE,Este Europa/Asia Central,129.94,0.76,819.58,593.07,2024.58,957.76,4007.33,1655.58,4719.11,2367.82,4476.4,4017.24,4485.97,5775.44,4594.23,9628.75,3986.81,4527.63,2900.03,2752.85,3353.0,3021.84,4485.12,3552.54,5293.25,4480.84,2619.44,1477.89,4430.47,1987.07,4047.63,3209.38,4499.67,2573.6,2867.49,2564.38,1403.0,1760.88,1503.92,2431.72,507.15,825.28,-1707.67,76.99,-4474.48,172.21,2650.96,2626.59,Importador neto
Bahrain,BHR,Medio Oriente/Norte África,363.56,9.55,80.36,215.96,216.99,190.03,516.7,741.35,865.31,1035.64,1048.6,1135.37,2914.66,980.05,1756.31,1669.15,1794.0,1620.48,257.15,-1791.49,155.77,334.04,780.85,893.62,1544.68,515.96,3727.71,531.65,1518.62,-394.41,64.89,3190.96,243.35,-880.05,1426.06,228.99,1654.26,111.17,941.76,-197.07,1021.28,-205.05,1779.26,64.36,1951.33,1947.87,1157.54,519.48,Importador neto
Bangladesh,BGD,Asia Sur-Este/Pacífico,280.38,2.0,78.53,20.6,52.3,2.64,268.29,2.78,448.91,4.07,813.32,1.94,456.52,3.59,651.03,134.26,1328.42,190.66,901.29,180.83,1232.26,66.44,1264.73,297.43,1584.4,289.06,2602.96,546.88,2539.19,41.77,2831.15,59.9,2332.72,40.52,1810.4,126.74,2421.63,19.21,1908.05,23.06,1525.31,4.81,1723.86,83.18,1601.07,31.6,1332.9,94.52,Importador neto
Belarus,BLR,Este Europa/Asia Central,118.8,0.2,95.8,0.3,247.1,-206.2,171.8,1.5,163.8,1.3,306.6,2.5,357.1,3.0,1807.3,15.2,2187.9,30.6,1876.5,102.3,1393.4,50.6,4002.4,125.5,1463.6,155.5,2246.1,262.2,1862.0,73.4,1652.3,106.6,1246.9,122.9,1276.3,67.8,1426.5,55.2,1273.3,-3.8,1393.2,82.7,1230.72,-79.18,1606.42,180.2,1278.51,50.01,Importador neto
Belgium,BEL,Europa Occidental,88738.71,86361.71,88203.25,100646.09,18118.95,8919.91,34559.27,39066.05,44498.17,34747.35,33662.01,32538.36,58821.55,50131.04,96551.63,83458.03,190391.84,223255.89,77354.51,33339.46,125491.89,66826.89,163624.38,129105.96,11810.27,41494.61,-29640.92,-12369.15,-15205.87,-418.23,-19514.25,7330.13,57538.35,34555.15,-37288.84,-5300.15,-41601.39,-36001.47,-10587.09,-18011.2,-30140.7,-20336.59,33980.66,62417.84,13136.47,34254.79,41413.17,42435.32,Exportador neto
"Bolivia, Plurinational State of",BOL,América del Sur,736.35,2.8,705.76,2.58,676.54,2.6,197.4,2.78,65.43,2.8,-238.62,3.0,280.76,3.0,366.29,3.0,512.34,3.0,423.04,3.0,622.0,-28.81,858.94,0.27,1059.97,,1749.61,,656.57,-33.11,554.64,-1.79,335.37,88.87,712.47,79.69,302.37,-84.47,-216.64,48.31,-1129.49,-111.13,583.58,91.33,6.24,-80.79,427.0,-0.15,Importador neto
Bosnia and Herzegovina,BIH,Europa Occidental,146.08,,118.5,,267.77,,381.78,,889.6,181.28,623.81,16.44,845.96,81.83,1841.97,64.6,1004.85,39.45,138.51,-93.49,443.84,81.18,471.61,-4.83,391.98,59.6,313.3,86.26,544.87,9.96,383.09,94.73,313.2,3.89,509.43,100.76,601.78,18.98,447.88,21.93,483.28,83.18,767.54,91.55,929.44,80.69,559.13,53.58,Importador neto
Bulgaria,BGR,Europa Occidental,1001.5,3.28,812.94,9.66,904.66,28.34,2096.79,26.5,3072.55,193.37,4098.12,93.34,7874.48,291.72,13875.27,972.19,10296.72,1117.48,3896.66,361.25,1842.9,589.25,2103.81,492.37,1788.11,409.98,1989.04,351.54,1093.6,882.36,2221.39,123.22,1488.43,827.02,2007.29,495.77,1809.86,924.35,2221.25,829.11,2801.39,450.87,2133.7,1101.42,4748.51,1714.18,3312.13,534.29,Importador neto
Burundi,BDI,África Subsahariana,11.68,-11.68,-0.01,-0.01,,,,-0.0,0.04,,0.58,,0.03,,0.5,0.04,3.83,0.58,0.35,,0.78,,3.35,,0.6,,116.73,0.17,91.72,0.03,7.44,0.1,0.06,0.66,65.32,-2.68,6.66,,30.28,0.74,21.2,1.14,22.35,1.14,25.25,1.95,19.46,-0.56,Importador neto
Cabo Verde,CPV,África Subsahariana,34.2,1.4,9.01,0.42,14.76,-0.03,39.22,0.85,67.64,,80.51,0.01,131.54,-0.25,191.76,0.35,210.9,-2.83,126.0,1.9,116.2,0.04,102.25,1.41,128.01,11.06,89.3,32.77,180.59,12.45,96.07,-15.92,126.31,7.83,111.71,15.88,103.55,9.33,122.92,15.99,67.62,3.96,91.46,-0.64,122.02,18.59,102.76,5.21,Importador neto
Cambodia,KHM,Asia Sur-Este/Pacífico,118.31,-23.6,146.48,4.37,130.96,-8.12,81.58,7.26,131.42,10.24,379.18,4.28,483.21,8.38,867.29,1.1,815.18,20.49,928.39,18.87,1404.32,20.58,1538.88,29.17,1988.1,36.18,2068.47,62.27,1853.47,82.06,1822.8,87.76,2475.92,79.07,2788.08,114.86,3212.63,123.96,3663.03,101.84,3624.64,127.01,3483.46,92.42,3578.83,150.49,1634.11,50.04,Importador neto
Cameroon,CMR,África Subsahariana,159.71,10.21,-11.67,-49.78,505.26,-132.62,334.89,6.37,67.98,-8.73,243.6,-13.68,59.12,-5.31,189.58,-7.72,21.0,-2.22,746.28,-66.07,536.27,500.98,653.27,187.09,527.36,-282.31,547.4,-157.56,725.85,-11.79,694.34,55.82,663.89,-38.92,814.46,21.88,765.09,107.94,1024.78,125.91,675.19,84.42,963.53,54.82,925.68,27.35,514.47,17.66,Importador neto
Canada,CAN,América del Norte,68303.35,46650.31,28391.1,36831.86,24486.43,29235.65,7011.79,23429.36,1452.42,44823.0,25552.23,27279.62,64302.3,50352.28,120451.48,65141.28,70119.61,88688.59,20951.09,37739.09,29714.74,36341.41,38338.33,50094.72,49368.99,62248.45,67027.87,54464.63,64174.61,64979.8,59986.21,83913.84,34201.87,67605.97,25357.8,78187.79,42603.76,62760.3,48942.3,75907.73,29123.01,47429.18,60189.69,104729.23,50764.05,88867.72,44818.04,57726.17,Exportador neto
Chile,CHL,América del Sur,4860.02,3986.65,4199.76,1609.73,2549.92,343.15,3485.73,1819.48,4968.73,1951.09,5990.83,1997.4,4755.33,2027.08,10545.22,4361.17,18811.78,8462.66,12750.32,5805.71,14849.44,8560.9,26369.46,16891.62,31801.97,19934.99,21120.76,9323.0,25527.83,10079.87,17766.29,15851.13,11362.83,7875.85,5237.18,2534.94,7942.63,1846.6,13579.09,10345.08,11447.4,6398.29,15176.9,14573.04,18771.99,14054.69,12777.02,7418.87,Importador neto
China,CHN,Asia Sur-Este/Pacífico,42095.3,4612.0,47053.0,9696.0,53073.62,6284.05,57900.94,8456.08,68117.27,7972.6,104108.69,13729.57,124082.04,23932.2,156249.34,17154.8,171534.65,56742.28,131057.05,43889.99,243703.43,57953.6,280072.22,48420.64,241213.87,64963.39,290928.43,72970.88,268097.18,123129.55,242489.33,174390.68,174749.58,216424.46,166083.76,138292.77,235365.05,143026.58,187169.82,136910.0,253095.62,153720.81,344074.98,178797.74,190203.79,210050.16,177066.04,83109.6,Importador neto
Colombia,COL,América del Sur,2436.46,325.35,2541.94,16.12,2133.7,856.83,1720.49,937.69,3115.64,192.45,10235.42,4795.51,6750.63,1267.76,8885.76,1278.8,10564.16,3085.12,8034.75,3504.66,6429.99,5482.66,14647.05,8419.83,15039.98,-606.2,16210.42,7652.08,16168.7,3898.94,11620.53,4217.74,13857.94,4517.35,13700.88,3689.56,11298.69,5126.32,13989.15,3153.5,7458.62,1733.45,9561.34,3180.81,17182.23,3383.5,9721.06,3048.25,Importador neto
Congo,COG,África Subsahariana,-98.14,-260.6,-135.48,-206.88,200.1,-128.43,220.04,-102.09,88.56,101.64,801.31,287.53,1489.02,,1424.25,-45.32,1947.97,-92.13,1189.05,-89.9,1522.23,592.89,298.68,99.96,-69.25,220.43,1878.86,1282.77,2891.1,1250.95,4279.84,549.43,50.61,1197.75,4416.95,44.93,4315.25,13.61,-1427.68,422.55,-1983.18,-981.2,-320.21,9.97,532.26,24.91,1022.27,190.58,Importador neto
"Congo, Democratic Republic of the",COD,África Subsahariana,94.19,-1.8,102.22,0.9,187.6,21.99,391.25,23.43,409.03,7.57,180.0,13.4,256.1,18.4,1808.0,14.3,1726.8,54.1,-243.2,34.8,2742.3,7.2,1596.02,90.88,2891.61,420.53,1697.59,400.66,1499.57,343.6,1165.72,507.78,932.37,272.33,1047.98,292.22,1407.56,209.23,1350.99,133.92,1498.08,148.84,1677.67,192.36,1409.37,436.4,1122.99,158.39,Importador neto
Costa Rica,CRI,América Central/Caribe,723.43,107.39,621.85,68.42,723.17,132.34,774.39,152.29,1083.72,206.45,1528.79,149.6,1801.0,218.94,2241.49,429.62,2436.11,196.61,1614.61,274.3,1906.92,317.71,2733.27,405.05,2696.3,893.56,3205.38,803.93,3242.15,424.41,2955.52,414.21,2620.44,493.4,2924.91,272.81,3014.54,580.75,2719.03,23.89,2103.0,458.74,3592.8,446.62,3751.29,1000.04,2218.0,368.31,Importador neto
Croatia,HRV,Europa Occidental,1015.07,48.13,1036.76,127.64,980.78,569.0,1846.43,141.44,1314.18,383.06,1814.73,240.98,3346.61,268.64,4645.81,379.7,5249.62,1394.62,3069.6,1374.65,1545.05,446.19,1248.98,-60.4,1465.1,-87.17,953.91,-28.66,3187.74,2290.24,488.66,-85.03,1574.46,-683.46,1820.43,538.04,1645.99,334.94,3978.66,99.33,1471.75,441.88,5125.18,1180.63,3927.39,-399.04,2293.6,387.62,Importador neto
Cyprus,CYP,Europa Occidental,854.87,172.09,944.74,249.14,1103.45,548.05,908.15,589.68,1118.84,711.72,1161.97,547.62,1871.9,897.79,2294.64,1262.63,12403.67,17018.73,65815.36,64365.8,32320.29,32987.88,41942.44,49343.67,72602.03,78492.54,25898.13,33852.03,54154.89,63066.8,27319.65,38849.42,3331.07,-3011.22,42234.15,53928.04,79087.12,104945.12,113114.19,111301.12,-75646.45,-97795.93,6626.44,2361.94,53.89,-5428.07,22239.8,23880.72,Exportador neto
Czechia,CZE,Europa Occidental,4987.08,42.68,5640.71,164.68,8496.61,211.4,2021.28,207.98,6423.47,2483.18,13730.16,2101.32,7132.0,3089.34,13815.66,4851.92,8815.39,6557.76,5271.61,3320.09,10167.83,5249.37,4188.74,1596.19,9433.2,3252.57,7357.58,7737.56,8088.66,4074.23,1699.91,3726.15,10850.61,3139.2,11234.74,9400.27,8324.67,6079.92,10752.12,4776.3,8515.48,2087.3,12890.95,11544.91,9143.6,5672.52,8216.61,3972.47,Importador neto
Denmark,DNK,Europa Occidental,36013.3,28381.22,9286.4,13153.54,4430.7,2649.67,1184.83,856.29,-8804.17,-9929.93,12847.03,16968.4,2385.25,7999.48,11809.45,17332.23,2191.22,18745.89,3779.25,6170.84,-11501.1,-573.83,13558.89,13122.99,-16349.83,-10938.54,680.34,7008.34,6577.35,9919.61,1842.99,7485.33,7804.02,17898.46,3607.28,10143.19,8764.02,6329.89,-3801.73,5973.88,1294.05,9564.83,16997.29,36474.52,27627.36,29032.31,5748.88,10598.64,Exportador neto
Dominican Republic,DOM,América Central/Caribe,989.0,36.1,1087.9,8.8,926.0,9.2,616.53,3.54,934.48,25.44,1118.4,-4.3,1528.7,444.1,2252.9,585.5,2728.4,-141.6,1695.3,-470.1,1820.2,-203.5,2197.5,-79.2,3415.9,273.5,1599.9,-390.6,2385.3,176.8,2227.3,22.4,2516.1,109.4,3597.9,27.2,2744.5,209.2,2829.2,-191.8,2460.6,-99.0,3349.7,152.9,4050.0,-48.8,2133.55,19.79,Importador neto
Ecuador,ECU,América del Sur,-23.44,,538.57,,783.26,,871.51,,836.94,,493.41,,271.43,,193.87,,1057.4,,308.63,,165.89,,646.08,,567.42,,727.08,,772.39,,1322.7,,766.43,,632.32,,1390.16,,984.56,,1119.27,,651.13,,881.99,,693.87,,Importador neto
Egypt,EGY,Medio Oriente/Norte África,1235.0,51.0,509.9,12.4,646.9,27.8,237.4,20.7,1253.3,158.9,5375.6,92.0,10042.8,148.4,11578.1,664.8,9494.6,1920.2,6711.6,571.2,6385.6,1175.5,-482.7,625.5,2797.7,211.1,4192.2,301.0,4612.2,252.7,6925.2,181.7,8106.8,206.6,7408.7,199.0,8141.3,323.49,9010.1,405.03,5851.8,326.5,5122.3,367.0,11399.9,341.8,5502.45,373.23,Importador neto
El Salvador,SLV,América Central/Caribe,173.4,-5.0,278.9,-9.7,470.0,-25.7,141.2,18.6,363.27,-2.75,511.14,112.9,241.13,-26.3,1550.51,95.2,903.05,79.43,368.73,2.96,-113.16,112.4,122.5,-95.93,430.13,-35.89,245.18,66.07,506.3,199.85,494.54,98.19,479.47,131.62,503.8,-385.04,412.74,-413.3,696.29,60.52,386.53,383.76,800.44,427.07,26.24,-116.98,434.45,29.22,Importador neto
Equatorial Guinea,GNQ,África Subsahariana,154.5,,940.74,,323.39,,689.78,,340.91,,769.15,,469.51,,1242.73,,-793.87,,1636.22,,2734.0,,1975.0,,985.26,,582.95,,167.88,,1187.7,1.27,1755.3,27.66,384.83,-26.87,-144.47,-208.84,821.41,166.03,-9.07,16.5,561.6,225.18,1388.19,-0.69,789.72,25.03,Importador neto
Estonia,EST,Europa Occidental,416.21,,592.89,,338.23,,1038.24,,1086.89,,3057.56,,1758.17,,3033.15,,1977.26,,1866.3,,2592.26,,1119.15,,1787.34,,1097.94,,1781.65,,-715.47,,925.76,,1735.78,,1273.93,,3113.49,,3823.19,,7525.45,,1731.62,,1867.7,,Importador neto
France,FRA,Europa Occidental,41389.08,173596.18,50142.05,87372.94,51550.48,53002.43,42350.8,52593.71,35608.54,61122.15,85137.06,118797.43,78957.05,130439.63,83777.6,132227.0,67997.45,135999.23,18422.93,88718.45,38889.44,72560.53,44205.81,64483.37,32944.66,52014.78,33461.59,32376.65,5063.65,61614.03,43133.33,79264.33,35623.36,72821.47,43733.25,48707.39,77493.1,139910.74,53499.34,84684.03,19368.83,28736.73,98012.55,118214.78,112295.48,102991.9,51872.06,86619.56,Exportador neto
Gabon,GAB,África Subsahariana,278.06,346.02,-100.62,-7.77,1.16,-60.83,99.67,-79.21,313.97,-30.31,326.16,159.23,267.81,1.38,654.81,58.86,693.51,-128.1,635.67,243.5,523.94,377.14,1123.54,25.41,677.33,910.74,324.03,236.29,1263.11,480.14,41.71,16.45,1243.66,45.3,1314.03,-83.71,1379.07,-62.93,1553.14,-33.78,1716.51,,1529.22,,1104.59,,737.57,120.69,Importador neto
Gambia,GMB,África Subsahariana,43.52,,35.48,,42.83,,18.27,,55.53,,53.65,,82.21,,78.09,,70.79,,39.45,,37.14,-0.01,36.08,-58.26,41.18,-9.99,68.34,-4.84,23.01,-12.22,71.98,-2.25,69.83,-1.34,64.34,-6.66,81.81,-3.68,71.08,-1.63,189.58,-3.48,251.82,-3.39,231.49,2.0,76.41,-8.13,Importador neto
Georgia,GEO,Este Europa/Asia Central,131.47,3.4,109.87,4.09,160.4,4.28,334.89,4.09,492.73,9.97,453.11,-89.12,1171.39,-13.17,1892.09,201.27,1602.23,173.6,660.8,-24.5,920.92,190.43,1170.09,182.73,968.2,216.92,1046.56,127.29,1836.88,406.55,1735.31,315.7,1659.82,412.99,1930.38,209.28,1304.02,293.61,1397.88,311.62,557.17,-16.12,1290.23,347.33,2257.74,365.17,1090.62,158.15,Importador neto
