País,ISO,Región,Entrada_2000,Salida_2000,Entrada_2001,Salida_2001,Entrada_2002,Salida_2002,Entrada_2003,Salida_2003,Entrada_2004,Salida_2004,Entrada_2005,Salida_2005,Entrada_2006,Salida_2006,Entrada_2007,Salida_2007,Entrada_2008,Salida_2008,Entrada_2009,Salida_2009,Entrada_2010,Salida_2010,Entrada_2011,Salida_2011,Entrada_2012,Salida_2012,Entrada_2013,Salida_2013,Entrada_2014,Salida_2014,Entrada_2015,Salida_2015,Entrada_2016,Salida_2016,Entrada_2017,Salida_2017,Entrada_2018,Salida_2018,Entrada_2019,Salida_2019,Entrada_2020,Salida_2020,Entrada_2021,Salida_2021,Entrada_2022,Salida_2022,Prom_Entrada_2000_2022,Prom_Salida_2000_2022,Clasificación
Pakistan,PAK,Asia Sur-Este/Pacífico,308.0,11.0,378.0,26.0,826.0,31.0,534.0,19.0,1118.0,56.0,2201.0,45.0,4273.0,109.0,5590.0,98.0,5438.0,49.0,2338.0,71.0,2022.0,47.0,1326.0,62.0,859.0,77.0,1333.0,212.0,1887.0,122.0,1673.0,25.0,2576.0,52.0,2496.0,52.0,1737.0,-21.0,2234.0,-85.0,2057.0,-45.0,2147.0,242.0,1462.0,1157.0,2035.35,104.87,Importador neto
Panama,PAN,América Central/Caribe,827.8,203.9,606.8,139.7,247.1,148.5,1050.6,233.1,1277.9,258.8,1104.4,186.8,2944.3,397.0,2224.0,325.4,2390.0,243.3,1085.5,-173.8,2549.1,142.6,4395.6,1418.6,3381.9,-103.0,3799.0,562.7,4984.4,854.8,5119.3,1147.2,5248.35,691.13,4082.06,-338.16,4304.25,441.16,4684.62,735.05,-1631.8,-3040.46,1833.06,-164.9,2466.52,187.5,2564.12,195.52,Importador neto
Papua New Guinea,PNG,Asia Sur-Este/Pacífico,,0.56,,0.64,,1.0,,49.48,,2.32,,8.22,,117.7,,37.91,,78.03,,6.5,,7.06,,314.22,,92.81,,9.02,,59.23,,-8.63,,292.3,,368.66,,575.48,,1215.22,,996.76,,1611.45,,2456.54,,360.54,Exportador neto
Paraguay,PRY,América del Sur,107.8,9.9,99.2,29.5,90.4,84.5,-57.7,-82.6,93.98,66.3,7.3,-28.2,187.8,73.6,105.0,-97.3,451.7,45.88,192.41,66.72,752.87,262.2,661.2,99.22,868.97,-219.32,435.97,750.41,1014.91,954.29,805.16,513.21,819.35,586.26,759.2,467.26,316.76,-338.16,485.53,293.9,289.38,112.4,584.06,423.06,855.19,346.9,431.58,192.17,Importador neto
Peru,PER,América del Sur,809.7,,1144.26,74.4,2155.84,,1335.01,60.0,1599.04,,2578.72,,3466.53,,5490.96,65.58,6923.65,735.8,6430.65,410.71,8454.63,436.27,7682.26,342.59,14182.39,2308.38,9570.62,236.94,4262.75,836.95,7336.86,-662.76,6805.25,1526.24,7413.41,1421.52,5872.66,-790.09,4775.38,-500.26,663.42,1880.24,7142.28,1968.92,11201.44,-587.3,5534.68,542.45,Importador neto
Philippines,PHL,Asia Sur-Este/Pacífico,1487.0,-628.0,760.0,425.0,1769.0,292.0,492.0,304.0,592.0,483.0,1664.0,794.12,2707.41,1068.31,2918.72,5372.67,1340.03,1970.03,2064.62,1897.13,1070.39,2712.17,2007.15,2349.64,3215.42,4173.22,3737.37,3646.95,5739.57,6753.92,5639.16,5539.51,8279.55,2396.73,10256.44,3304.73,9948.6,4115.7,8671.37,3350.94,6822.13,3562.03,11983.36,2251.12,9492.23,3861.28,4463.37,2608.53,Importador neto
Poland,POL,Europa Occidental,9335.0,8.0,5677.0,-127.0,4091.0,190.0,5371.0,1087.0,13868.0,2139.0,11041.0,4134.0,21473.0,10803.0,25031.0,7586.0,14574.0,4666.0,14025.0,5931.0,18861.0,9638.0,18851.0,4781.0,7616.0,1619.0,1342.0,-3098.0,20877.0,6768.0,15820.0,5067.0,18060.0,14001.0,12565.0,3934.0,19908.0,2438.0,19012.0,5369.0,20086.0,5073.0,37512.0,10220.0,41780.0,12603.0,16381.57,4992.61,Importador neto
Portugal,PRT,Europa Occidental,7292.58,8780.54,6113.79,6838.4,587.89,-1379.73,10354.68,9024.85,2485.16,8186.2,3367.94,2735.79,13394.5,8852.28,6014.64,10559.06,7820.64,5578.7,5752.97,3647.43,8998.32,-3467.41,10397.47,15886.62,15623.88,4586.37,14590.19,7285.34,12512.85,3663.26,1264.34,-906.48,7350.31,3706.62,11088.24,2910.19,8390.56,1682.28,10814.57,1626.87,4165.62,-2388.21,9239.42,14.22,13059.93,5425.95,8290.46,4471.7,Importador neto
Qatar,QAT,Medio Oriente/Norte África,251.6,17.75,295.52,17.21,623.92,-21.04,624.92,88.17,1198.97,437.92,2500.0,351.91,3500.0,127.43,4700.0,5160.25,3778.63,3657.77,8124.74,3214.57,4670.33,1863.17,938.52,10108.53,395.88,1840.11,-840.38,8021.43,1040.38,6748.35,1070.88,4023.35,773.9,7901.92,985.99,1694.78,-2186.26,3522.8,-2812.64,4450.27,-2434.07,2729.95,-1093.41,159.89,76.1,2383.79,1138.41,2978.27,Exportador neto
Romania,ROU,Europa Occidental,1037.0,-11.0,1157.0,-17.0,1144.0,16.0,1844.0,39.0,6443.0,70.0,6498.65,330.39,11006.61,501.59,10103.09,666.07,13667.82,313.0,4637.68,13.53,3213.74,235.6,2370.1,56.83,3047.57,-207.45,3854.82,-60.53,3869.2,269.21,4317.73,1030.28,6252.04,1255.76,5952.91,386.33,7343.56,1503.44,7365.44,1923.63,3602.42,198.63,11768.73,1339.05,11477.51,2174.53,5738.03,522.91,Importador neto
Rwanda,RWA,África Subsahariana,8.1,,18.5,,1.5,,4.7,,7.7,,7.96,,30.64,,82.28,12.95,102.29,,118.67,,216.19,,112.13,,269.62,,233.76,,314.0,3.79,162.08,3.45,279.75,47.76,274.03,15.69,366.19,17.96,263.17,5.43,152.61,0.0,233.38,0.0,305.1,0.0,154.97,10.7,Importador neto
Saudi Arabia,SAU,Medio Oriente/Norte África,-1881.07,1550.0,19.64,45.63,-614.13,2020.03,-586.51,473.0,-334.32,78.73,4385.46,-349.87,5975.89,-38.56,6175.32,-134.83,5505.98,3497.62,436.35,2177.27,4878.89,3906.85,4683.86,3429.92,5035.06,4401.55,3371.41,4943.29,1509.06,5395.99,3970.64,5389.93,21954.83,9261.96,1014.06,8173.47,12141.12,19252.33,3079.22,14552.87,1621.26,5410.92,28350.37,24673.89,26710.06,26531.36,5974.02,6288.84,Exportador neto
Senegal,SEN,África Subsahariana,81.64,19.2,45.08,6.07,82.69,38.45,86.5,36.55,137.58,73.5,167.94,115.6,289.84,79.23,351.46,78.37,455.74,183.27,331.47,87.58,272.09,7.96,338.66,47.52,276.16,55.99,311.37,33.33,403.1,27.46,409.17,31.36,472.41,223.86,588.29,82.42,847.84,52.81,1065.46,71.06,1845.67,99.19,2588.13,51.68,2928.68,70.11,625.09,68.37,Importador neto
Serbia,SRB,Europa Occidental,,,,,,,,,,,,,,,,940.56,,328.5,,46.93,,192.61,,309.8,,327.21,,331.83,,350.72,,344.28,,252.38,,149.51,,358.1,,295.78,,116.5,,271.82,,112.14,,295.54,Exportador neto
Sierra Leone,SLE,África Subsahariana,39.0,,9.84,,10.41,,8.62,,61.15,,90.73,-7.55,58.87,0.1,95.47,-1.11,53.1,-4.53,110.43,-0.42,238.4,-0.03,950.48,,722.45,,429.66,,375.09,,252.44,,138.52,,413.72,,185.65,,121.78,,51.0,,214.0,,145.0,,207.64,-2.26,Importador neto
Slovakia,SVK,Europa Occidental,2183.12,152.15,1532.58,24.53,4212.44,111.5,969.2,433.51,4063.5,4.12,3923.51,1014.26,5701.44,499.05,5058.23,1643.54,4640.89,523.85,1521.08,2493.71,2115.83,1239.74,5431.59,2697.97,1776.57,-1232.21,1003.9,1276.73,-362.92,279.21,1520.38,1418.29,4768.26,4072.8,4222.91,1498.86,2252.38,957.95,2279.81,-170.91,-1141.7,1624.89,2719.67,1207.2,4827.08,2046.04,2835.64,1035.51,Importador neto
Slovenia,SVN,Europa Occidental,135.8,65.3,501.2,130.5,1849.8,341.5,535.6,709.9,763.1,481.6,970.8,1059.3,692.02,906.52,1884.51,2215.83,1080.74,1332.24,-346.97,340.0,319.14,199.55,875.95,-14.02,33.54,-566.21,104.02,32.08,1019.38,212.67,1730.15,325.79,1446.27,477.58,1196.23,631.07,1538.14,448.9,2151.54,1294.6,506.27,826.86,2219.25,1694.01,2180.39,831.42,1016.82,607.7,Importador neto
South Africa,ZAF,África Subsahariana,968.83,277.18,7270.34,-3514.73,1479.8,-402.26,783.14,552.54,701.42,1305.42,6522.1,909.41,623.29,5928.8,6586.79,2982.11,9885.0,-2119.58,7624.49,1311.3,3693.27,-161.29,4139.29,-153.4,4626.03,2898.87,8232.52,6519.87,5791.66,7692.08,1521.14,5514.93,2215.31,4490.48,2058.58,7449.22,5569.46,4026.96,5116.1,3140.94,3153.55,-1935.86,40658.79,101.58,9238.99,2374.63,6020.0,2138.66,Importador neto
Spain,ESP,Europa Occidental,40723.54,59482.26,29016.73,33923.91,39314.61,33166.27,31005.89,33881.94,25642.93,62193.67,28282.65,45966.18,35455.66,107525.82,70291.85,145419.63,71347.12,72737.85,7562.36,13447.92,35969.02,41448.08,25874.48,42663.12,19250.4,-3002.02,47143.33,33041.92,31972.29,46706.64,23777.33,58214.51,44962.67,60378.95,33577.74,48915.08,63958.43,42250.4,30322.87,40796.6,37683.1,56285.1,64626.9,51233.4,67459.8,68723.58,39357.47,51973.95,Exportador neto
Sri Lanka,LKA,Asia Sur-Este/Pacífico,172.94,2.0,171.79,0.0,196.5,11.45,228.72,27.31,232.8,5.79,272.4,38.4,479.7,29.3,603.0,55.0,752.2,61.7,404.0,20.0,477.56,42.5,955.92,60.0,941.12,63.93,932.55,65.07,893.63,66.82,679.66,52.99,897.05,236.81,1372.72,71.79,1614.04,67.86,743.47,77.36,434.08,14.54,592.29,17.44,884.15,15.13,649.23,47.96,Importador neto
Sudan,SDN,África Subsahariana,392.2,,574.0,,713.18,,1349.19,,1511.07,,1561.69,,1841.83,,1504.38,,1653.12,,1726.3,,2063.73,,1734.38,,2311.46,,1687.88,,1251.28,,1728.37,,1063.77,,1065.3,,1135.79,,825.35,,716.94,,522.87,54.24,573.5,,1282.94,54.24,Importador neto
Sweden,SWE,Europa Occidental,22817.84,40232.72,18217.81,14787.05,18381.65,16666.79,6007.68,22342.65,16854.65,28183.81,20782.69,38277.39,22052.66,21602.86,46143.51,55891.33,41436.55,34764.6,8960.87,26474.83,625.1,22122.82,6979.35,23774.0,4273.53,17495.19,1487.75,28050.2,-6039.79,-1660.75,9777.57,14269.16,15470.46,-17.33,24305.21,38618.26,-714.15,13459.64,15692.85,21878.24,18307.77,22230.63,57981.12,63315.32,53782.29,63335.81,18416.74,27221.53,Exportador neto
Switzerland,CHE,Europa Occidental,23080.88,47305.93,9765.01,18748.52,8258.05,10057.24,19721.05,17924.23,7102.29,31313.91,2664.91,54033.81,53760.77,85323.49,48688.3,67278.84,2990.94,30284.13,47658.57,44704.12,17670.74,74105.21,20764.48,43331.82,39943.49,54298.78,-24926.47,12546.54,21003.09,11454.45,120722.43,125551.93,170848.65,184198.93,146779.21,55204.06,-161796.24,-27154.95,22355.12,62688.4,-238563.81,-111192.29,-120778.44,-93481.58,-12414.05,-30932.33,9795.61,33373.62,Exportador neto
Tajikistan,TJK,Este Europa/Asia Central,23.54,,9.5,,36.07,,31.65,,272.03,,54.48,,338.63,,359.97,,486.61,,149.06,,93.94,,145.88,,241.74,,283.14,,326.59,,454.01,,241.62,35.09,185.83,122.72,220.86,-28.29,212.81,23.21,106.53,70.33,84.04,47.7,174.02,11.98,197.07,40.39,Importador neto
"Tanzania, United Republic of",TZA,África Subsahariana,463.4,,549.27,0.76,395.57,0.24,318.4,2.26,442.54,,935.52,,403.04,,581.51,,1383.26,,952.63,,1813.2,,1229.36,,1799.65,,2087.26,,1416.09,,1506.02,,864.04,,937.7,,971.58,,1217.24,,943.77,,1190.51,,1437.58,,1036.48,1.09,Importador neto
Trinidad and Tobago,TTO,América Central/Caribe,679.5,25.2,834.9,150.0,1007.8,106.4,808.3,225.2,998.1,25.4,939.7,341.0,882.7,370.0,830.0,0.0,2800.8,700.0,709.1,,549.4,,41.05,67.21,-1904.35,189.42,-1129.97,62.5,661.41,-17.71,176.83,128.34,-23.6,-25.34,-470.88,-12.04,-700.19,65.04,183.97,114.16,1055.97,98.01,-934.78,769.45,1172.47,1354.07,398.62,225.54,Importador neto
Tunisia,TUN,Medio Oriente/Norte África,750.72,26.99,451.51,5.56,790.3,6.33,539.48,5.43,592.15,4.01,712.71,12.33,3239.91,33.06,1515.35,20.29,2600.67,42.2,1525.24,77.02,1334.5,74.05,432.67,21.31,1554.27,13.45,1058.62,21.54,1024.75,21.79,970.52,31.1,622.57,241.62,810.94,57.45,991.39,14.68,815.01,5.05,623.08,30.89,547.41,16.0,643.21,33.55,1049.87,35.47,Importador neto
Turkmenistan,TKM,Este Europa/Asia Central,131.0,,170.0,,276.0,,226.0,,353.7,,418.2,,730.9,,856.0,,1277.0,,4553.0,,3632.3,,3391.07,,3129.61,,2861.42,,3830.13,,3042.97,,2243.16,,2085.94,,1606.64,,1853.63,,1436.24,,1287.33,,936.04,,1753.4,,Importador neto
Türkiye,TUR,Europa Occidental,982.0,870.0,3352.0,497.0,1082.0,143.0,1702.0,480.0,2785.0,780.0,10031.0,1064.0,20185.0,924.0,22047.0,2106.0,19851.0,2549.0,8585.0,1553.0,9099.0,1482.0,16182.0,2370.0,13744.0,4106.0,13563.0,3636.0,13337.0,7050.0,19263.0,5096.0,13835.0,3138.0,11190.0,2703.0,12450.0,3605.0,9507.0,3011.0,7522.0,3251.0,12674.0,6450.0,13784.0,4934.0,11163.13,2686.87,Importador neto
Uganda,UGA,África Subsahariana,160.7,,151.5,,184.65,,202.19,,295.42,,379.81,,644.26,,792.31,,728.86,,841.57,28.85,543.87,37.21,894.29,-11.85,1205.39,46.34,1096.0,44.38,1058.56,27.02,737.65,0.28,625.7,0.15,802.7,0.3,1055.35,0.32,1303.01,0.32,1191.49,0.33,1648.24,0.35,2952.94,0.36,847.67,12.45,Importador neto
Ukraine,UKR,Este Europa/Asia Central,595.0,1.0,792.0,23.0,693.0,-5.0,1424.0,13.0,1715.0,4.0,7808.0,275.0,5604.0,-133.0,10193.0,975.0,10700.0,797.0,4769.0,115.0,6451.0,692.0,7207.0,192.0,8175.0,980.0,4509.0,430.0,847.0,548.0,-198.0,38.0,4128.0,173.0,3680.0,234.0,4975.0,116.0,5796.0,621.0,304.0,362.0,7954.0,436.0,221.0,34.0,4275.74,300.91,Importador neto
United Arab Emirates,ARE,Medio Oriente/Norte África,-506.33,423.67,1183.84,213.7,95.3,441.12,4255.96,991.15,10003.5,2208.0,10899.93,3750.3,12805.99,10891.76,14186.52,14567.73,5062.97,15820.3,1134.29,2722.9,8796.77,2015.0,7152.1,2178.0,9566.65,2536.01,9764.91,8828.34,11071.54,11735.9,8550.9,16691.6,9604.77,15711.4,10354.22,14059.95,10385.29,15079.29,17874.66,21226.16,19884.47,18937.33,20667.12,22545.95,22736.56,24833.22,9805.74,9930.82,Exportador neto
United States of America,USA,América del Norte,349125.0,186370.0,172496.0,146041.0,111055.0,178985.0,117106.0,195218.0,213641.0,374004.0,142344.0,52591.0,298463.0,283801.0,346613.0,523890.0,341092.0,343583.0,161083.0,312597.0,264039.0,349828.0,263497.0,436616.0,250345.0,377240.0,288131.0,392796.0,251856.0,387529.0,511434.0,302071.0,474388.0,299815.0,380823.0,409413.0,214715.0,-130720.0,315984.0,114927.0,137066.0,282331.0,477956.0,342151.0,416890.0,388847.0,282614.87,284779.3,Exportador neto
Uruguay,URY,América del Sur,262.82,-4.98,310.4,19.77,179.85,-0.16,402.72,1.39,352.71,38.06,826.63,15.49,1508.35,13.83,1358.74,118.66,2141.97,25.37,1602.59,90.41,2191.07,-157.71,2690.09,179.2,6394.07,4153.84,986.93,-2058.21,4085.23,1837.96,2673.04,1898.34,-515.65,1307.76,2686.51,4723.85,1726.55,2455.79,1466.6,104.17,973.45,-120.39,5165.28,2619.52,8810.43,5931.63,2099.15,1008.42,Importador neto
Uzbekistan,UZB,Este Europa/Asia Central,,,,,,,,,,,,2.55,,2.15,,2.29,,2.57,,4.32,,2.95,,3.64,,3.09,,4.32,,4.43,,4.57,,5.82,,8.16,,1.8,,3.35,,11.31,,2.52,,4.08,,4.11,Exportador neto
"Venezuela, Bolivarian Republic of",VEN,América del Sur,4703.0,523.0,3704.0,225.0,761.0,1005.0,1573.0,851.0,1489.0,625.0,2450.0,1028.0,198.0,2230.0,4358.0,575.0,2083.0,767.0,-1137.0,2476.0,1583.0,2501.0,5855.0,-255.0,4986.0,3307.0,2145.0,217.0,1135.0,4536.0,2956.0,2586.0,1587.0,1560.0,-299.0,2328.0,622.0,2051.0,564.0,-163.0,1504.0,1469.0,1213.0,2416.0,2349.0,2250.0,2016.61,1526.43,Importador neto
Viet Nam,VNM,Asia Sur-Este/Pacífico,1298.0,,1300.0,,1400.0,,1450.0,,1610.0,,1954.0,65.0,2400.0,85.0,6700.0,184.0,9579.0,300.0,7600.0,700.0,8000.0,900.0,7430.0,950.0,8368.0,1200.0,8900.0,1956.0,9200.0,1150.0,11800.0,1100.0,12600.0,1000.0,14100.0,480.0,15500.0,598.0,16120.0,485.0,15800.0,380.0,15660.0,319.0,17900.0,2674.0,8550.83,807.0,Importador neto
Yemen,YEM,Medio Oriente/Norte África,6.4,-8.56,155.14,14.61,114.3,28.09,-89.11,48.9,143.58,21.55,-302.06,23.64,1120.97,9.25,917.3,39.49,1554.63,229.86,129.2,71.88,188.64,71.26,-517.84,57.85,-14.24,8.52,-133.57,5.39,-233.1,11.59,-15.44,4.43,-561.0,0.79,-269.85,5.6,-282.1,3.61,-370.98,3.33,,,,,,,77.04,32.55,Importador neto
Zimbabwe,ZWE,África Subsahariana,23.2,7.5,3.8,4.1,25.9,3.2,3.8,0.2,8.7,0.0,102.8,1.1,40.0,0.01,68.9,3.1,51.6,8.0,105.0,,122.59,43.3,344.3,42.7,349.85,49.0,373.05,27.0,472.8,72.0,399.2,22.0,343.01,32.0,307.19,0.93,413.86,-9.31,249.67,-11.31,150.46,-3.5,237.48,2.5,336.76,58.3,197.13,16.04,Importador neto
United Kingdom,GBR,Europa Occidental,164130.34,292046.71,56090.92,77411.94,89760.58,120902.0,36011.24,82080.88,87059.62,128639.69,252653.4,159910.44,203636.43,142254.95,209514.96,370395.28,253454.12,356696.27,14547.11,-48397.91,66734.55,54407.45,27012.05,80833.6,46750.79,12023.54,54473.18,46250.91,58890.45,-113915.35,45333.48,-60177.02,324813.22,32908.27,125358.81,172043.89,-25055.44,-28632.13,19790.76,-21498.3,157185.56,16388.42,102431.56,133310.22,92776.36,143625.94,107102.35,93456.94,Importador neto
Luxembourg,LUX,Europa Occidental,,,,,4243.17,10217.47,4291.11,850.7,5179.64,6773.19,4644.77,8211.02,32219.53,10035.03,-29679.43,71293.67,7117.11,11506.16,27255.15,8268.31,39128.53,23252.72,8843.16,10715.8,2824.13,-13397.25,23299.02,46620.63,20060.31,43420.62,45432.15,31919.45,17580.97,-1240.84,-27369.78,15019.04,-83336.48,21857.12,163717.6,176767.31,-3358.06,103045.55,24809.16,104480.93,-316383.12,-192435.11,-1403.87,23675.31,Exportador neto
Barbados,BRB,América Central/Caribe,73.7,22.83,91.5,25.58,228.34,24.98,184.7,25.03,228.33,53.56,390.06,156.88,342.27,44.45,476.4,82.24,615.12,73.43,356.01,127.83,425.34,324.13,459.55,560.21,528.05,39.9,104.09,26.3,753.69,-67.6,688.53,322.2,557.5,94.66,91.48,-116.35,241.6,9.2,215.37,27.83,262.1,7.5,238.74,17.66,200.0,15.0,337.06,82.5,Importador neto
Israel,ISR,Medio Oriente/Norte África,8047.5,3335.3,1771.3,687.3,1582.5,980.8,3322.0,2085.7,2946.9,4540.9,4818.4,2945.3,14395.5,15437.9,8798.1,8604.5,10274.2,7209.2,4606.9,1751.1,6984.7,7943.4,8653.0,7400.9,9017.3,2275.6,11842.2,3858.2,6048.9,4525.5,11336.2,10968.4,11988.0,14578.4,16892.5,7623.9,21514.5,6086.6,17362.5,8689.1,20968.7,4578.9,18949.9,10369.2,22883.5,10955.3,10652.4,6410.06,Importador neto
